Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,Number of Investors,Valuation (Million),Funding (Million),Year Joined,Years to unicorn
Cedar,$3B,09-03-2021,Fintech,New York,United States,North America,2016,$326M,"Thrive Capital, Founders Fund, Cocnord Health Partners",3,3000,326,2021,5
Forter,$3B,19-11-2020,Cybersecurity,New York,United States,North America,2013,$525M,"Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures",3,3000,525,2020,7
Grafana Labs,$3B,25-03-2021,Internet Software,New York,United States,North America,2014,$535M,"Lightspeed Venture Partners, Lead Edge Capital, Coatue Management",3,3000,535,2021,7
Il Makiage,$2B,10-01-2022,E-Commerce,New York,United States,North America,2018,$29M,"L Catterton, Franklin Templeton, First Light Capital Group",3,2000,29,2022,4
Claroty,$2B,17-06-2021,Cybersecurity,New York,United States,North America,2015,$640M,"Bessemer Venture Partners, MoreVC, Team8",3,2000,640,2021,6
Andela,$2B,29-09-2021,Internet Software,New York,United States,North America,2014,$381M,"Spark Capital, Google Ventures, CRE Venture Capital",3,2000,381,2021,7
Candy.Com,$2B,21-10-2021,Fintech,New York,United States,North America,2021,$100M,"Insight Partners, Softbank Group, Connect Ventures",3,2000,100,2021,0
Lusha,$2B,10-11-2021,Internet Software,New York,United States,North America,2016,$245M,"PSG, ION Crossover Partners",2,2000,245,2021,5
Asapp,$2B,19-05-2021,Artificial Intelligence,New York,United States,North America,2014,$380M,"March Capital Partners, HOF Capital, Emergence Capital Partners",3,2000,380,2021,7
Capitolis,$2B,22-03-2022,Fintech,New York,United States,North America,2017,$282M,"Sequoia Capital, Index Ventures, S Capital",3,2000,282,2022,5
Paxos,$2B,29-04-2021,Fintech,New York,United States,North America,2012,$538M,"Liberty City Ventures, RRE Ventures, Mithril Capital Management",3,2000,538,2021,9
Unite Us,$2B,16-03-2021,Health,New York,United States,North America,2014,$195M,"Insight Partners, Sequoia Capital, Index Ventures",3,2000,195,2021,7
Glossier,$2B,19-03-2019,Consumer & Retail,New York,United States,North America,2014,$266M,"Forerunner Ventures, Institutional Venture Partners, Thrive Capital",3,2000,266,2019,5
Harry'S,$2B,16-02-2018,Consumer & Retail,New York,United States,North America,2013,$792M,"Thrive Capital, Tiger Global Management, Temasek",3,2000,792,2018,5
Bowery Farming,$2B,25-05-2021,Other,New York,United States,North America,2015,$497M,"Temasek, Google Ventures, General Catalyst",3,2000,497,2021,6
Current,$2B,27-04-2021,Fintech,New York,United States,North America,2015,$402M,"Expa, QED Investors, Foundation Capital",3,2000,402,2021,6
Gympass,$2B,12-06-2019,Internet Software,New York,United States,North America,2012,$525M,"General Atlantic, SoftBank Group, Atomico",3,2000,525,2019,7
Opentrons,$2B,23-09-2021,Hardware,New York,United States,North America,2016,$240M,"SOSV, Khosla Ventures, Lerer Hippeau",3,2000,240,2021,5
Zocdoc,$2B,20-08-2015,Health,New York,United States,North America,2007,$374M,"Founders Fund, Khosla Ventures, Goldman Sachs",3,2000,374,2015,8
Invision,$2B,01-11-2017,Internet Software,New York,United States,North America,2011,$349M,"FirstMark Capital, Tiger Global Management, ICONIQ Capital",3,2000,349,2017,6
Rokt,$2B,16-12-2021,Internet Software,New York,United States,North America,2012,$487M,"Square Peg Capital, TDM Growth Partners, Tiger Global Management",3,2000,487,2021,9
Spring Health,$2B,16-09-2021,Health,New York,United States,North America,2016,$296M,"Rethink Impact, Work-Bench, RRE Ventures",3,2000,296,2021,5
Sword Health,$2B,22-11-2021,Health,New York,United States,North America,2015,$296M,"Khosla Ventures, Green Innovations, Founders Fund",3,2000,296,2021,6
Unqork,$2B,06-10-2020,Fintech,New York,United States,North America,2017,$365M,"Blackrock, capitalG, World Lab Innovation",3,2000,365,2020,3
Verbit,$2B,08-06-2021,Artificial Intelligence,New York,United States,North America,2016,$432M,"ClalTech, Vertex Ventures, Oryzn Capital",3,2000,432,2021,5
Justworks,$1B,28-01-2020,Internet Software,New York,United States,North America,2012,$143M,"Index Ventures, Thrive Capital, Bain Capital Ventures",3,1000,143,2020,8
Trumid,$1B,15-07-2020,Fintech,New York,United States,North America,2014,$660M,"T. Rowe Price, Dragoneer Investment Group, BlackRock",3,1000,660,2020,6
K Health,$1B,19-01-2021,Health,New York,United States,North America,2016,$271M,"Max Ventures, Mangrove Capital Partners, 14W",3,1000,271,2021,5
Away,$1B,15-05-2019,E-Commerce,New York,United States,North America,2015,$181M,"Global Founders Capital, Comcast Ventures, Forerunner Ventures",3,1000,181,2019,4
Stash,$1B,03-02-2021,Fintech,New York,United States,North America,2015,$426M,"Goodwater Capital, Entree Capital, Valar Ventures",3,1000,426,2021,6
Symphony,$1B,16-05-2017,Fintech,New York,United States,North America,2014,$511M,"BNP Paribas, Goldman Sachs, Google",3,1000,511,2017,3
Yotpo,$1B,18-03-2021,Internet Software,New York,United States,North America,2011,$436M,"Bessemer Venture Partners, Vintage Investment Partners, Blumberg Capital",3,1000,436,2021,10
Alloy,$1B,30-09-2021,Fintech,New York,United States,North America,2015,$156M,"Bessemer Venture Partners, Eniac Ventures, Canapi Ventures",3,1000,156,2021,6
Athletic Greens,$1B,25-01-2022,Health,New York,United States,North America,2010,$115M,"SC.Holdings, Not Boring Capital, Bolt Ventures",3,1000,115,2022,12
Betterment,$1B,29-09-2021,Fintech,New York,United States,North America,2010,$335M,"Bessemer Venture Partners, Menlo Ventures, Anthermis",3,1000,335,2021,11
Distrokid,$1B,16-08-2021,Internet Software,New York,United States,North America,2013,Unknown,"Insight Partners, Silversmith Capital Partners, Spotify",3,1000,,2021,8
Loadsmart,$1B,01-02-2022,"Supply Chain, Logistics,",New York,United States,North America,2014,$336M,"Chromo Invest, Maersk Growth, BlackRock",3,1000,336,2022,8
Lukka,$1B,14-01-2022,Fintech,New York,United States,North America,2014,$201M,"Liberty City Ventures, Soros Fund Management, Summer Capital",3,1000,201,2022,8
The Brandtech Group,$1B,19-11-2019,Other,New York,United States,North America,2015,$610M,Undisclosed,1,1000,610,2019,4
Bigid,$1B,16-12-2020,Cybersecurity,New York,United States,North America,2015,$246M,"BOLDstart Ventures, SAP.iO Fund, Scale Venture Partners",3,1000,246,2020,5
Dailypay,$1B,18-05-2021,Fintech,New York,United States,North America,2016,$189M,"RPM Ventures, Inspiration Ventures, Carrick Capital Partners",3,1000,189,2021,5
Jokr,$1B,02-12-2021,E-Commerce,New York,United States,North America,2021,$430M,"GGV Capital, Tiger Global Management, Greycroft",3,1000,430,2021,0
Public,$1B,17-02-2021,Fintech,New York,United States,North America,2008,$309M,"Accel, Greycroft, Advancit Capital",3,1000,309,2021,13
Beyond Identity,$1B,22-02-2022,Cybersecurity,New York,United States,North America,2019,$205M,"New Enterprise Associates, Koch Disruptive Technologies, Evolution Equity Partners",3,1000,205,2022,3
Chief,$1B,31-03-2022,Other,New York,United States,North America,2019,$140M,"General Catalyst, Inspired Capital, Flybridge Capital Partners",3,1000,140,2022,3
Daily Harvest,$1B,16-11-2021,E-Commerce,New York,United States,North America,2014,$120M,"M13, Lightspeed Venture Partners, Lone Pine Capital",3,1000,120,2021,7
Rightway,$1B,30-03-2021,Health,New York,United States,North America,2017,$130M,"Thrive Capital, Khosla Ventures, Tiger Global Management",3,1000,130,2021,4
Sisense,$1B,09-01-2020,Data Management & Analytics,New York,United States,North America,2004,$274M,"Opus Capital, Genesis Partners, Battery Ventures",3,1000,274,2020,16
Aircall,$1B,23-06-2021,Internet Software,New York,United States,North America,2014,$226M,"Balderton Capital, Next World Capital, Draper Esprit",3,1000,226,2021,7
Augury,$1B,26-10-2021,Artificial Intelligence,New York,United States,North America,2011,$294M,"Lerer Hippeau, Munich Re Ventures, Eclipse Ventures",3,1000,294,2021,10
Bluecore,$1B,05-08-2021,Artificial Intelligence,New York,United States,North America,2013,$238M,"FirstMark Capital, Georgian Partners, Norwest Venture Partners",3,1000,238,2021,8
Bluevoyant,$1B,23-02-2022,Cybersecurity,New York,United States,North America,2017,$526M,"8VC, Liberty Strategic Capital, Eden Global Partners",3,1000,526,2022,5
Cadence,$1B,14-12-2021,Health,New York,United States,North America,2020,$141M,"Thrive Capital, General Catalyst, Coatue Management",3,1000,141,2021,1
Cais,$1B,11-01-2022,Fintech,New York,United States,North America,2009,$406M,"Franklin Templeton, Motive Partners, Apollo Global Management",3,1000,406,2022,13
Capsule,$1B,28-04-2021,Health,New York,United States,North America,2016,$570M,"Thrive Capital, Durable Capital Partners, G Squared",3,1000,570,2021,5
Cheq,$1B,22-02-2022,Cybersecurity,New York,United States,North America,2014,$182M,"Battery Ventures, Tiger Global Management, Hanaco Ventures",3,1000,182,2022,8
Chronosphere,$1B,07-10-2021,Data Management & Analytics,New York,United States,North America,2019,$254M,"Greylock Partners, Lux Capital, General Atlantic",3,1000,254,2021,2
Electric,$1B,29-03-2022,Cybersecurity,New York,United States,North America,2016,$209M,"Primary Venture Partners, Bessemer Venture Partners, Harmonic Growth Partners",3,1000,209,2022,6
Esusu,$1B,27-01-2022,Fintech,New York,United States,North America,2015,$145M,"Next Play Ventures, Zeal Capital Partners, SoftBank Group",3,1000,145,2022,7
Fabric,$1B,26-10-2021,"Supply Chain, Logistics,",New York,United States,North America,2015,$294M,"Innovation Endeavors, Aleph, Temasek",3,1000,294,2021,6
Fever Labs,$1B,26-01-2022,Internet Software,New York,United States,North America,2012,$299M,"Accel, 14W, GS Growth",3,1000,299,2022,10
Gauntlet Networks,$1B,07-03-2022,Fintech,New York,United States,North America,2018,$45M,"Polychain Capital, Paradigm, Ribbit Capital",3,1000,45,2022,4
Glia,$1B,21-03-2022,Fintech,New York,United States,North America,2012,$152M,"Wildcat Capital Management, Insight Partners, Tola Capital",3,1000,152,2022,10
Injective Protocol,$1B,20-04-2021,Fintech,New York,United States,North America,2018,$17M,"Pantera Capital, Cadenza Ventures, BlockTower Capital",3,1000,17,2021,3
Layerzero Labs,$1B,30-03-2022,Internet Software,New York,United States,North America,2021,$143M,"Andreessen Horowitz, FTX Ventures, Tiger Global Management",3,1000,143,2022,1
Masterworks,$1B,05-10-2021,Fintech,New York,United States,North America,2017,$110M,"Left Lane Capital, Galaxy Interactive, Tru Arrow Partners",3,1000,110,2021,4
Maven Clinic,$1B,17-08-2021,Health,New York,United States,North America,2014,$202M,"Female Founders Fund, Oak HC/FT Partners, Sequoia Capital",3,1000,202,2021,7
Mediamath,$1B,10-07-2018,Internet Software,New York,United States,North America,2007,$325M,"Silicon Valley Bank, QED Investors, European Founders Fund",3,1000,325,2018,11
Newsela,$1B,25-02-2021,Internet Software,New York,United States,North America,2013,$172M,"Owl Ventures, Technology Crossover Ventures, Tao Capital Partners",3,1000,172,2021,8
Openweb,$1B,09-11-2021,Internet Software,New York,United States,North America,2012,$223M,"Insight Partners, AltaIR Capital, Norma Investments",3,1000,223,2021,9
Orchard,$1B,09-09-2021,Fintech,New York,United States,North America,2017,$252M,"Accomplice, Juxtapose, FirstMark Capital",3,1000,252,2021,4
Owkin,$1B,18-11-2021,Artificial Intelligence,New York,United States,North America,2016,$254M,"Google Ventures, Cathay Innovation, NJF Capital",3,1000,254,2021,5
Pat Mcgrath Labs,$1B,16-07-2018,Consumer & Retail,New York,United States,North America,2016,$60M,"One Luxury Group, Eurazeo",2,1000,60,2018,2
Smartasset,$1B,24-06-2021,Fintech,New York,United States,North America,2012,$161M,"Javelin Venture Partners, TTV Capital, Peterson Ventures",3,1000,161,2021,9
Thirty Madison,$1B,02-06-2021,Health,New York,United States,North America,1993,$210M,"Northzone Ventures, Maveron, Johnson & Johnson Innovation",3,1000,210,2021,28
Timescale,$1B,22-02-2022,Internet Software,New York,United States,North America,2015,$181M,"New Enterprise Associates, Benchmark, Two Sigma Ventures",3,1000,181,2022,7
Trialspark,$1B,30-09-2021,Health,New York,United States,North America,2014,$156M,"Sequoia Capital, Thrive Capital, Sound Ventures",3,1000,156,2021,7
Vise,$1B,18-05-2021,Fintech,New York,United States,North America,2016,$128M,"Sequoia Capital, Founders Fund, Bling Capital",3,1000,128,2021,5
Vts,$1B,07-05-2019,Internet Software,New York,United States,North America,2012,$187M,"Trinity Ventures, Fifth Wall Ventures, OpenView Venture Partners",3,1000,187,2019,7
Wrapbook,$1B,10-11-2021,Fintech,New York,United States,North America,2018,$131M,"Equal Ventures, Uncork Capital, Andreessen Horowitz",3,1000,131,2021,3
Yipitdata,$1B,06-12-2021,Internet Software,New York,United States,North America,2008,$492M,"RRE Ventures+, Highland Capital Partners, The Carlyle Group",3,1000,492,2021,13
Spacex,$100B,01-12-2012,Other,Hawthorne,United States,North America,2002,$7B,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",3,100000,7000,2012,10
Epic Games,$32B,26-10-2018,Other,Cary,United States,North America,1991,$7B,"Tencent Holdings, KKR, Smash Ventures",3,32000,7000,2018,27
Fanatics,$27B,06-06-2012,E-Commerce,Jacksonville,United States,North America,2002,$4B,"SoftBank Group, Andreessen Horowitz, Temasek Holdings",3,27000,4000,2012,10
Gopuff,$15B,08-10-2020,E-Commerce,Philadelphia,United States,North America,2013,$3B,"Accel, Softbank Group, Anthos Capital",3,15000,3000,2020,7
Devoted Health,$13B,16-10-2018,Health,Waltham,United States,North America,2017,$2B,"Andreessen Horowitz, F-Prime Capital, Venrock",3,13000,2000,2018,1
Argo Ai,$12B,12-07-2019,Artificial Intelligence,Pittsburgh,United States,North America,2016,$4B,"Volkswagen Group, Ford Autonomous Vehicles",2,12000,4000,2019,3
Biosplice Therapeutics,$12B,06-08-2018,Health,San Diego,United States,North America,2008,$799M,"Vickers Venture Partners, IKEA GreenTech",2,12000,799,2018,10
Outsystems,$10B,05-06-2018,Internet Software,Boston,United States,North America,2001,$572M,"KKR, ES Ventures, North Bridge Growth Equity",3,10000,572,2018,17
Servicetitan,$10B,14-11-2018,Internet Software,Glendale,United States,North America,2012,$1B,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures",3,10000,1000,2018,6
Thrasio,$10B,15-07-2020,Other,Walpole,United States,North America,2018,$2B,"Upper90, RiverPark Ventures, Advent International",3,10000,2000,2020,2
Pony.Ai,$9B,11-07-2018,Artificial Intelligence,Fremont,United States,North America,2016,$1B,"Sequoia Capital China, IDG Capital, DCM Ventures",3,9000,1000,2018,2
Nuro,$9B,11-02-2019,Auto & Transportation,Mountain View,United States,North America,2016,$2B,"SoftBank Group, Greylock Partners, Gaorong Capital",3,9000,2000,2019,3
Snyk,$9B,21-01-2020,Cybersecurity,Boston,United States,North America,2015,$1B,"BOLDstart Ventures, Google Ventures, Accel",3,9000,1000,2020,5
Klaviyo,$9B,17-11-2020,Internet Software,Boston,United States,North America,2012,$679M,"Summit Partners, Accel, Astral Capital",3,9000,679,2020,8
Tanium,$9B,31-03-2015,Cybersecurity,Kirkland,United States,North America,2007,$775M,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth",3,9000,775,2015,8
Netskope,$8B,13-11-2018,Cybersecurity,Santa Clara,United States,North America,2012,$1B,"Lightspeed Venture Partners, Social Capital, Accel",3,8000,1000,2018,6
Tipalti,$8B,06-10-2020,Fintech,San Mateo,United States,North America,2010,$549M,"01 Advisors, Zeev Ventures, Group 11",3,8000,549,2020,10
Tempus,$8B,21-03-2018,Health,Chicago,United States,North America,2015,$820M,"New Enterprise Associates, T. Rowe Associates, Lightbank",3,8000,820,2018,3
Impossible Foods,$7B,13-05-2019,Consumer & Retail,Redwood City,United States,North America,2011,$2B,"Khosla Ventures, Horizons Ventures, Temasek Holdings",3,7000,2000,2019,8
Attentive,$7B,23-09-2020,Mobile & Telecommunications,Hoboken,United States,North America,2016,$863M,"NextView Ventures, Eniac Ventures, Sequoia Capital",3,7000,863,2020,4
Gong,$7B,12-08-2020,Artificial Intelligence,Palo Alto,United States,North America,2015,$583M,"Norwest Venture Partners, Next World Capital, Wing Venture Capital",3,7000,583,2020,5
Tripactions,$7B,08-11-2018,Travel,Palo Alto,United States,North America,2015,$912M,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures",3,7000,912,2018,3
Automation Anywhere,$7B,02-07-2018,Artificial Intelligence,San Jose,United States,North America,2003,$849M,"General Atlantic, Goldman Sachs, New Enterprise Associates",3,7000,849,2018,15
Fivetran,$6B,30-06-2020,Data Management & Analytics,Oakland,United States,North America,2012,$728M,"Matrix Partners, Andreessen Horowitz, General Catalyst",3,6000,728,2020,8
Cityblock Health,$6B,10-12-2020,Health,Brooklyn,United States,North America,2017,$891M,"Thrive Capital, Maverick Ventures, Redpoint Ventures",3,6000,891,2020,3
Datarobot,$6B,29-07-2019,Artificial Intelligence,Boston,United States,North America,2012,$1B,"New Enterprise Associates, Accomplice, IA Ventures",3,6000,1000,2019,7
Vice Media,$6B,02-04-2011,Internet Software,Brooklyn,United States,North America,1994,$1B,"Technology Crossover Ventures, A&E Television Networks",2,6000,1000,2011,17
Lyra Health,$6B,25-08-2020,Health,Burlingame,United States,North America,2015,$910M,"Greylock Partners, Venrock, Providence Ventures",3,6000,910,2020,5
Anduril,$5B,11-09-2019,Artificial Intelligence,Irvine,United States,North America,2017,$691M,"Andreessen Horowitz, Founders Fund, Revolution Ventures",3,5000,691,2019,2
Onetrust,$5B,11-07-2019,Internet Software,Atlanta,United States,North America,2016,$926M,Insight Partners,1,5000,926,2019,3
Icertis,$5B,17-07-2019,Artificial Intelligence,Bellevue,United States,North America,2009,$371M,"Eight Roads Ventures, Greycroft, Ignition Partners",3,5000,371,2019,10
Radiology Partners,$4B,26-02-2018,Health,El Segundo,United States,North America,2012,$1B,"New Enterprise Associates, Starr Investment Holdings",2,4000,1000,2018,6
Indigo Ag,$4B,26-09-2017,Artificial Intelligence,Boston,United States,North America,2014,$1B,"Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co.",3,4000,1000,2017,3
Tekion,$4B,21-10-2020,Internet Software,San Ramon,United States,North America,2016,$435M,"Airbus Ventures, Index Ventures, Advent International",3,4000,435,2020,4
Outreach,$4B,16-04-2019,Internet Software,Seattle,United States,North America,2011,$489M,"Mayfield Fund, M12, Trinity Ventures",3,4000,489,2019,8
Applied Intuition,$4B,22-10-2020,Data Management & Analytics,Sunnyvale,United States,North America,2017,$352M,"Andreessen Horowitz, Lux Capital, General Catalyst",3,4000,352,2020,3
Course Hero,$4B,12-02-2020,Edtech,Redwood City,United States,North America,2006,$477M,"NewView Capital, Maveron, Ridge Ventures",3,4000,477,2020,14
Whoop,$4B,28-10-2020,E-Commerce,Boston,United States,North America,2012,$404M,"NextView Ventures, Promus Ventures, Two Sigma Ventures",3,4000,404,2020,8
Arctic Wolf Networks,$4B,22-10-2020,Cybersecurity,Eden Prairie,United States,North America,2012,$498M,"Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors",3,4000,498,2020,8
Goat,$4B,23-09-2020,E-Commerce,Culver City,United States,North America,2015,$493M,"Upfront Ventures, Webb Investment Network, D1 Capital Partners",3,4000,493,2020,5
Guild Education,$4B,13-11-2019,Internet Software,Denver,United States,North America,2015,$379M,"General Atlantic, Blackstone, ICONIQ Growth",3,4000,379,2019,4
Globalization Partners,$4B,24-01-2022,Internet Software,Boston,United States,North America,2012,$350M,"Vista Equity Partners, Wincove, TDR Capital",3,4000,350,2022,10
Intarcia Therapeutics,$4B,01-04-2014,Health,Boston,United States,North America,1995,$1B,"New Enterprise Associates, New Leaf Venture Partners, Charter Venture Capital",3,4000,1000,2014,19
Relativity Space,$4B,23-11-2020,Other,Inglewood,United States,North America,2016,$1B,"Playground Global, Bond, Tribe Capital",3,4000,1000,2020,4
Stockx,$4B,26-06-2019,E-Commerce,Detroit,United States,North America,2016,$495M,"Google Ventures, Battery Ventures, DST Global",3,4000,495,2019,3
Thoughtspot,$4B,08-05-2018,Internet Software,Sunnyvale,United States,North America,2012,$664M,"Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital",3,4000,664,2018,6
Branch,$4B,10-09-2018,Mobile & Telecommunications,Redwood City,United States,North America,2014,$667M,"New Enterprise Associates, Pear, Cowboy Ventures",3,4000,667,2018,4
Cerebras Systems,$4B,14-11-2018,Hardware,Los Altos,United States,North America,2016,$720M,"Benchmark, Foundation Capital, Sequoia Capital",3,4000,720,2018,2
Clickup,$4B,15-12-2020,Internet Software,San Diego,United States,North America,2017,$535M,"Georgian Partners, Craft Ventures",2,4000,535,2020,3
Farmers Business Network,$4B,03-08-2020,Other,San Carlos,United States,North America,2014,$870M,"Blackrock, Kleiner Perkins Caulfield & Byers, Google Ventures",3,4000,870,2020,6
Houzz,$4B,30-09-2014,E-Commerce,Palo Alto,United States,North America,2008,$614M,"New Enterprise Associates, Sequoia Capital, Comcast Ventures",3,4000,614,2014,6
Next Insurance,$4B,07-10-2019,Fintech,Palo Alto,United States,North America,2016,$881M,"Zeev Ventures, Ribbit Capital, TLV Partners",3,4000,881,2019,3
Olive,$4B,01-12-2020,Internet Software,Columbus,United States,North America,2012,$856M,"Drive Capital, General Catalyst, Ascension Ventures",3,4000,856,2020,8
Rubrik,$4B,28-04-2017,Data Management & Analytics,Palo Alto,United States,North America,2014,$553M,"Greylock Partners, Lightspeed Venture Partners, Khosla Ventures",3,4000,553,2017,3
Yuga Labs,$4B,22-03-2022,Fintech,Miami,United States,North America,2021,$450M,"Andreessen Horowitz, Thrive Capital, Sound Ventures",3,4000,450,2022,1
Cohesity,$3B,11-06-2018,Data Management & Analytics,San Jose,United States,North America,2013,$660M,"SoftBank Group, Sequoia Capital, Wing Venture Capital",3,3000,660,2018,5
Cybereason,$3B,06-08-2019,Cybersecurity,Boston,United States,North America,2012,$714M,"SoftBank Group, CRV, Spark Capital",3,3000,714,2019,7
Sifive,$3B,16-03-2022,Hardware,San Mateo,United States,North America,2015,$366M,"Sutter Hill Ventures, Osage University Partners, Spark Capital",3,3000,366,2022,7
Somatus,$3B,23-02-2022,Health,Mclean,United States,North America,2016,$465M,"The Blue Venture Fund, Flare Capital Partners, Longitude Capital",3,3000,465,2022,6
Uniphore,$3B,16-02-2022,Artificial Intelligence,Palo Alto,United States,North America,2008,$607M,"Chiratae Ventures, March Capital Partners, National Grid Partners",3,3000,607,2022,14
Pendo,$3B,17-10-2019,Internet Software,Raleigh,United States,North America,2013,$357M,"Contour Venture Partners, Battery Ventures, Core Capital Partners",3,3000,357,2019,6
O9 Solutions,$3B,28-04-2020,Artificial Intelligence,Dallas,United States,North America,2009,$417M,KKR,1,3000,417,2020,11
Scopely,$3B,29-10-2019,Mobile & Telecommunications,Culver City,United States,North America,2011,$999M,"Greycroft, Sands Capital, Revolution Growth",3,3000,999,2019,8
Sila Nanotechnologies,$3B,16-04-2019,Other,Alameda,United States,North America,2011,$880M,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners",3,3000,880,2019,8
Convoy,$3B,21-09-2018,"Supply Chain, Logistics,",Seattle,United States,North America,2015,$666M,"Greylock Partners, capitalG, Y Combinator",3,3000,666,2018,3
Illumio,$3B,14-04-2015,Cybersecurity,Sunnyvale,United States,North America,2013,$558M,"Data Collective, Formation 8, General Catalyst Partners",3,3000,558,2015,2
Ironclad,$3B,18-01-2022,Internet Software,Sacramento,United States,North America,2014,$334M,"Accel, Sequoia Capital, Y Combinator",3,3000,334,2022,8
Zipline,$3B,20-05-2019,"Supply Chain, Logistics,",South San Francisco,United States,North America,2014,$483M,"Sequoia Capital, Baillie Gifford & Co., Google Ventures",3,3000,483,2019,5
Highradius,$3B,07-01-2020,Fintech,Houston,United States,North America,2006,$475M,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital",3,3000,475,2020,14
Workrise,$3B,30-09-2019,Internet Software,Austin,United States,North America,2014,$722M,"Founders Fund, Quantum Energy Partners, Bedrock Capital",3,3000,722,2019,5
Age Of Learning,$3B,03-05-2016,Edtech,Glendale,United States,North America,2007,$500M,Iconiq Capital,1,3000,500,2016,9
Circle,$3B,15-05-2018,Fintech,Boston,United States,North America,2013,$711M,"General Catalyst, Digital Currency Group, Accel",3,3000,711,2018,5
Cross River Bank,$3B,11-02-2022,Fintech,Fort Lee,United States,North America,2008,$775M,"Battery Ventures, Andreessen Horowitz, Ribbit Capital",3,3000,775,2022,14
Podium,$3B,07-04-2020,Internet Software,Lehi,United States,North America,2014,$419M,"Accel, Summit Partners, Google Ventures",3,3000,419,2020,6
Seismic,$3B,18-12-2018,Internet Software,San Diego,United States,North America,2010,$427M,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners",3,3000,427,2018,8
Cambridge Mobile Telematics,$2B,19-12-2018,Mobile & Telecommunications,Cambridge,United States,North America,2010,$503M,SoftBank Group,1,2000,503,2018,8
Heartflow,$2B,04-12-2017,Health,Redwood City,United States,North America,2007,$568M,"BlueCross BlueShield Venture Partners, US Venture Partners",2,2000,568,2017,10
Athelas,$2B,31-01-2022,Health,Mountain View,United States,North America,2016,$150M,"Sequoia Capital, General Catalyst, Human Capital",3,2000,150,2022,6
Mu Sigma,$2B,07-02-2013,Data Management & Analytics,Northbrook,United States,North America,2004,$211M,"Sequoia Capital, General Atlantic",2,2000,211,2013,9
Temporal,$2B,16-02-2022,Internet Software,Bellevue,United States,North America,2019,$129M,"Amplify Partners, Addition, Madrona Venture Group",3,2000,129,2022,3
Zenoti,$2B,15-12-2020,Internet Software,Bellevue,United States,North America,2010,$331M,"Norwest Venture Partners, Accel, Tiger Global Management",3,2000,331,2020,10
Carbon,$2B,20-08-2015,Hardware,Redwood City,United States,North America,2013,$682M,"Google Ventures, Sequoia Capital, Wakefield Group",3,2000,682,2015,2
Ezcater,$2B,02-04-2019,"Supply Chain, Logistics,",Boston,United States,North America,2007,$421M,"Insight Venture Partners, ICONIQ Capital, Launchpad Venture Group",3,2000,421,2019,12
Infinidat,$2B,29-04-2015,Hardware,Waltham,United States,North America,2011,$325M,"TPG Growth, Goldman Sachs",2,2000,325,2015,4
Verkada,$2B,29-01-2020,Cybersecurity,San Mateo,United States,North America,2016,$139M,"next47, First Round Capital, Sequoia Capital",3,2000,139,2020,4
Spotter,$2B,16-02-2022,Fintech,Los Angeles,United States,North America,2019,$231M,"SoftBank Group, Access Industries, Crossbeam Venture Partners",3,2000,231,2022,3
Greenlight,$2B,24-09-2020,Fintech,Atlanta,United States,North America,2014,$557M,"Relay Ventures, TTV Capital, Canapi Ventures",3,2000,557,2020,6
Skydance Media,$2B,11-02-2020,Other,Santa Monica,United States,North America,2010,$275M,"RedBird Capital Partners, CJ ENM, Tencent Holdings",3,2000,275,2020,10
Uptake,$2B,27-10-2015,Artificial Intelligence,Chicago,United States,North America,2014,$218M,"Revolution, New Enterprise Associates, Caterpillar",3,2000,218,2015,1
Zume,$2B,01-11-2018,Consumer & Retail,Mountain View,United States,North America,2015,$423M,"Softbank Group, AME Cloud Ventures, SignalFire",3,2000,423,2018,3
Bloomreach,$2B,23-02-2022,Artificial Intelligence,Mountain View,United States,North America,2009,$422M,"Bain Capital Ventures, Sixth Street Growth, Lightspeed Venture Partners",3,2000,422,2022,13
Acorns,$2B,09-03-2022,Fintech,Irvine,United States,North America,2012,$507M,"e.ventures, Bain Capital Ventures, Greycroft",3,2000,507,2022,10
Concertai,$2B,29-03-2022,Artificial Intelligence,Boston,United States,North America,2018,$300M,"Sixth Street Partners, Declaration Partners, Maverick Ventures Israel",3,2000,300,2022,4
Eightfold.Ai,$2B,27-10-2020,Internet Software,Santa Clara,United States,North America,2016,$397M,"Foundation Capital, Institutional Venture Partners, General Catalyst",3,2000,397,2020,4
Jeeves,$2B,14-03-2022,Fintech,Orlando,United States,North America,2019,$268M,"Tencent Holdings, CRV, Clocktower Technology Ventures",3,2000,268,2022,3
Roofstock,$2B,10-03-2022,Fintech,Oakland,United States,North America,2015,$365M,"Khosla Ventures, Bain Capital Ventures, Lightspeed Venture Partners",3,2000,365,2022,7
